OrderID,CustomerID,CustomerName,Age,Gender,City,State,Category,ProductName,Quantity,UnitPrice,Discount,ShippingCost,PaymentMethod,OrderDate,DeliveryDays,Rating,CustomerSatisfaction,TotalPrice,DiscountAmount,FinalPrice
ORD00001,CUST0103,John Smith,22.0,Female,Chicago,PA,Food,Jeans,2,141.34,0,16.07,Cash,2024-03-06,5,,Very Satisfied,282.68,0.0,298.75
ORD00002,CUST0271,William Moore,18.0,Male,Chicago,OH,Sports,Sofa,2,407.62,0,19.91,Debit Card,2024-10-06,14,4.0,Satisfied,815.24,0.0,835.15
ORD00003,CUST0107,William Moore,120.0,Female,San Jose,AZ,Toys,Lipstick,2,37.13,0,5.05,Cash,2024-01-28,2,4.0,Very Satisfied,74.26,0.0,79.31
ORD00004,CUST0072,Jessica White,29.0,Male,Dallas,NY,Food,Smartphone,2,273.68,15,8.74,Credit Card,2024-04-26,13,5.0,Neutral,547.36,82.104,473.99600000000004
ORD00005,CUST0189,Lisa Anderson,53.0,Female,Houston,NY,Beauty,Coffee,4,44.57,10,10.4,Credit Card,2024-11-12,11,,Neutral,178.28,17.828,170.852
ORD00006,CUST0021,Mike Johnson,62.0,Female,Houston,WA,Toys,Jeans,5,467.68,10,5.9,Debit Card,2024-11-20,9,,Very Satisfied,2338.4,233.84000000000003,2110.46
ORD00007,CUST0103,Jane Doe,40.0,Female,San Antonio,GA,Home & Garden,Lamp,4,385.51,0,0.31,PayPal,2024-04-23,7,5.0,Satisfied,1542.04,0.0,1542.35
ORD00008,CUST0122,John Smith,64.0,Male,Los Angeles,PA,Food,Basketball,4,332.4,15,4.4,Credit Card,2024-03-15,10,1.0,Very Satisfied,1329.6,199.43999999999997,1134.56
ORD00009,CUST0215,Jessica White,48.0,Male,San Diego,GA,Home & Garden,Basketball,1,413.71,0,5.64,Cash,2024-07-20,8,5.0,Neutral,413.71,0.0,419.34999999999997
ORD00010,CUST0088,Mike Johnson,28.0,Male,Philadelphia,AZ,Books,Novel,1,327.28,15,8.87,Credit Card,2024-02-28,6,5.0,Very Satisfied,327.28,49.09199999999999,287.058
ORD00011,CUST0100,James Harris,27.0,Male,Chicago,NY,Food,Lipstick,1,484.78,5,3.42,Credit Card,2024-01-15,9,4.0,Satisfied,484.78,24.239,463.961
ORD00012,CUST0152,Jane Doe,20.0,Male,Dallas,PA,Food,Lamp,3,359.84,0,17.47,Credit Card,2024-08-18,6,5.0,Very Dissatisfied,1079.52,0.0,1096.99
ORD00013,CUST0131,Jane Doe,31.0,Female,Phoenix,PA,Toys,Novel,1,463.08,5,14.1,PayPal,2024-04-14,7,4.0,Very Satisfied,463.08,23.154,454.026
ORD00014,CUST0150,Emily Davis,33.0,Male,San Diego,IL,Home & Garden,Chocolate,5,263.39,10,1.7,Cash,2024-06-13,7,2.0,,1316.9499999999998,131.695,1186.955
ORD00015,CUST0258,Jennifer Lee,27.0,Male,San Antonio,OH,Beauty,Lipstick,4,67.36,0,13.0,Debit Card,2024-07-17,9,5.0,Satisfied,269.44,0.0,282.44
ORD00016,CUST0294,John Smith,46.0,Female,San Diego,NY,Electronics,Cookbook,5,268.81,15,13.07,Credit Card,2024-12-19,11,4.0,Very Satisfied,1344.05,201.6075,1155.5124999999998
ORD00017,CUST0192,Jane Doe,27.0,Male,San Antonio,NY,Sports,Coffee,1,72.17,5,19.12,Cash,2024-02-04,8,4.0,Satisfied,72.17,3.6085000000000003,87.6815
ORD00018,CUST0277,Jessica White,29.0,Female,Chicago,PA,Electronics,Jeans,3,300.32,0,0.06,Cash,2024-06-10,13,4.0,Neutral,900.96,0.0,901.02
ORD00019,CUST0161,Emily Davis,47.0,Male,Los Angeles,GA,Sports,Shampoo,3,246.42,0,4.96,Debit Card,2024-09-01,1,5.0,Satisfied,739.26,0.0,744.22
ORD00020,CUST0022,Mike Johnson,58.0,Female,,NY,Beauty,Jeans,4,315.06,5,18.56,Credit Card,2024-10-13,4,4.0,Very Satisfied,1260.24,63.012,1215.788
ORD00021,CUST0253,James Harris,18.0,Male,Chicago,PA,Food,Doll,5,14.92,5,18.64,PayPal,2024-01-19,7,4.0,Very Satisfied,74.6,3.73,89.50999999999999
ORD00022,CUST0236,Sarah Williams,22.0,Male,Chicago,NY,Food,Basketball,2,105.47,5,14.41,Cash,2024-10-06,11,5.0,Neutral,210.94,10.547,214.803
ORD00023,CUST0049,John Smith,37.0,Female,Los Angeles,PA,Toys,T-Shirt,5,250.75,10,15.32,Debit Card,2024-12-05,8,5.0,Satisfied,1253.75,125.375,1143.695
ORD00024,CUST0059,Lisa Anderson,25.0,Male,Houston,IL,Books,Shampoo,1,475.75,5,1.83,PayPal,2024-12-13,7,4.0,Satisfied,475.75,23.7875,453.79249999999996
ORD00025,CUST0170,William Moore,60.0,Female,San Diego,OH,Home & Garden,Cookbook,2,197.97,25,10.28,Cash,2024-06-30,12,5.0,Very Satisfied,395.94,98.985,307.23499999999996
ORD00026,CUST0188,Chris Wilson,29.0,Male,New York,PA,Home & Garden,Jeans,3,217.94,5,4.63,Credit Card,2024-05-26,3,5.0,Neutral,653.8199999999999,32.690999999999995,625.7589999999999
ORD00027,CUST0271,Chris Wilson,18.0,Male,New York,NY,Home & Garden,Chocolate,4,360.2,15,3.62,Cash,2024-06-24,4,5.0,Very Dissatisfied,1440.8,216.11999999999998,1228.3
ORD00028,CUST0190,Mike Johnson,37.0,Female,Phoenix,AZ,Toys,Smartphone,4,305.86,0,16.21,PayPal,2024-06-11,12,4.0,Very Satisfied,1223.44,0.0,1239.65
ORD00029,CUST0175,Amy Taylor,45.0,Male,Phoenix,OH,Sports,Coffee,3,156.47,0,2.7,PayPal,2024-06-23,7,5.0,Very Satisfied,469.40999999999997,0.0,472.10999999999996
ORD00030,CUST0051,Amy Taylor,60.0,Female,,IL,Food,Basketball,1,211.3,0,9.37,Credit Card,2024-02-16,8,4.0,Dissatisfied,211.3,0.0,220.67000000000002
ORD00031,CUST0055,Mike Johnson,54.0,Other,Philadelphia,PA,Beauty,Novel,3,116.67,5,18.77,Credit Card,2024-09-12,7,2.0,Neutral,350.01,17.5005,351.2795
ORD00032,CUST0244,Jessica White,64.0,Female,New York,AZ,Home & Garden,Coffee,1,483.35,15,3.72,Debit Card,2024-06-22,6,4.0,Satisfied,483.35,72.5025,414.56750000000005
ORD00033,CUST0131,Jane Doe,54.0,Female,Phoenix,PA,Electronics,Lamp,2,8132.465659176024,0,19.56,Credit Card,2024-04-12,9,5.0,Very Dissatisfied,148.02,0.0,167.58
ORD00034,CUST0135,Jennifer Lee,29.0,Male,Dallas,GA,Home & Garden,Novel,3,192.2,0,19.89,Debit Card,2024-04-30,9,2.0,Satisfied,576.5999999999999,0.0,596.4899999999999
ORD00035,CUST0021,John Smith,54.0,Male,Phoenix,NY,Food,Lipstick,1,22.66,15,11.11,PayPal,2024-12-15,11,3.0,Very Satisfied,22.66,3.399,30.371
ORD00036,CUST0167,Chris Wilson,66.0,Male,Philadelphia,FL,Toys,Headphones,2,118.67,0,3.4,PayPal,2024-05-24,13,5.0,Neutral,237.34,0.0,240.74
ORD00037,CUST0274,Chris Wilson,66.0,Female,San Diego,WA,Beauty,Coffee,3,392.43,10,6.32,Cash,2024-02-11,7,5.0,Satisfied,1177.29,117.729,1065.8809999999999
ORD00038,CUST0089,Jennifer Lee,61.0,F,New York,CA,Books,Coffee,4,108.58,5,8.49,Cash,2024-01-29,8,5.0,,434.32,21.716,421.094
ORD00039,CUST0014,Jane Doe,45.0,Male,Los Angeles,GA,Beauty,T-Shirt,3,49.23,15,6.19,Debit Card,2024-09-29,6,4.0,Very Satisfied,147.69,22.153499999999998,131.72650000000002
ORD00040,CUST0242,Chris Wilson,64.0,Female,Dallas,AZ,Electronics,Jeans,5,242.48,0,5.61,Credit Card,2024-01-14,1,2.0,Satisfied,1212.3999999999999,0.0,1218.0099999999998
ORD00041,CUST0265,William Moore,32.0,Male,Chicago,GA,Home & Garden,Sofa,3,14.88,0,19.44,Credit Card,2024-11-01,1,5.0,Neutral,44.64,0.0,64.08
ORD00042,CUST0053,Lisa Anderson,23.0,Female,Philadelphia,TX,Home & Garden,Laptop,5,51.54,5,3.07,Cash,2024-11-08,6,2.0,Very Satisfied,257.7,12.885,247.885
ORD00043,CUST0092,John Smith,61.0,Male,Phoenix,PA,Clothing,T-Shirt,2,405.74,20,14.67,PayPal,2024-07-07,2,5.0,Satisfied,811.48,162.29600000000002,663.8539999999999
ORD00044,CUST0264,Tom Martinez,37.0,Other,Los Angeles,PA,Sports,Doll,3,388.02,5,0.01,Debit Card,2024-12-25,14,4.0,Dissatisfied,1164.06,58.203,1105.867
ORD00045,CUST0035,Chris Wilson,67.0,Female,San Antonio,CA,Electronics,Lipstick,2,458.42,0,11.92,PayPal,2024-10-21,8,5.0,Satisfied,916.84,0.0,928.76
ORD00046,CUST0206,Mike Johnson,31.0,Male,Houston,CA,Clothing,Basketball,2,428.71,10,18.32,PayPal,2024-07-01,1,4.0,Satisfied,857.42,85.742,789.998
ORD00047,CUST0081,Lisa Anderson,19.0,Male,New York,TX,Beauty,Shampoo,1,344.76,20,5.76,Credit Card,2024-12-17,13,4.0,Dissatisfied,344.76,68.952,281.568
ORD00048,CUST0050,Chris Wilson,26.0,Male,Houston,NY,Books,Jeans,2,35.64,15,3.71,Debit Card,2024-02-05,2,5.0,Very Satisfied,71.28,10.692,64.298
ORD00049,CUST0002,Robert Garcia,54.0,Male,Philadelphia,WA,Sports,Lamp,2,393.6,25,13.03,PayPal,2024-02-06,8,4.0,,787.2,196.8,603.4300000000001
ORD00050,CUST0054,James Harris,37.0,Male,San Antonio,FL,Electronics,Shampoo,3,424.3,0,14.25,Cash,2024-01-14,12,4.0,Neutral,1272.9,0.0,1287.15
ORD00051,CUST0106,William Moore,43.0,Female,San Antonio,FL,Home & Garden,Jeans,3,401.55,0,13.76,Cash,2024-05-02,6,5.0,Satisfied,1204.65,0.0,1218.41
ORD00052,CUST0260,Lisa Anderson,46.0,Female,San Antonio,IL,Beauty,Shampoo,4,259.15,10,6.39,Credit Card,2024-03-23,12,4.0,Satisfied,1036.6,103.66,939.3299999999999
ORD00053,CUST0191,Emily Davis,18.0,Female,Chicago,IL,Electronics,Shampoo,1,124.12,15,5.04,Cash,2024-06-07,10,4.0,Very Dissatisfied,124.12,18.618,110.54200000000002
ORD00054,CUST0218,Tom Martinez,52.0,Male,Philadelphia,NY,Home & Garden,Laptop,2,424.21,0,19.12,Cash,2024-11-24,2,4.0,Very Satisfied,848.42,0.0,867.54
ORD00055,CUST0044,James Harris,23.0,Female,San Diego,IL,Food,Doll,1,366.31,0,18.47,PayPal,2024-04-11,2,3.0,Very Satisfied,366.31,0.0,384.78
ORD00056,CUST0162,David Brown,54.0,Female,Houston,IL,Sports,Lamp,5,490.57,10,9.15,Cash,2024-12-02,11,2.0,Very Satisfied,2452.85,245.285,2216.715
ORD00057,CUST0202,Mike Johnson,22.0,Male,San Diego,TX,Food,Novel,2,86.29,0,16.92,Cash,2024-03-23,14,5.0,Very Satisfied,172.58,0.0,189.5
ORD00058,CUST0270,Mike Johnson,50.0,Female,Los Angeles,,Food,Shampoo,1,120.58,0,9.05,PayPal,2024-02-13,7,5.0,Satisfied,120.58,0.0,129.63
ORD00059,CUST0271,John Smith,66.0,Female,San Jose,IL,Home & Garden,Lamp,4,113.78,5,8.49,Credit Card,2024-03-08,5,4.0,,455.12,22.756,440.85400000000004
ORD00060,CUST0215,Jennifer Lee,68.0,Male,Dallas,GA,Books,Doll,4,398.34,5,3.14,Credit Card,2024-02-17,5,4.0,Dissatisfied,1593.36,79.668,1516.832
ORD00061,CUST0252,James Harris,31.0,Male,Dallas,OH,Beauty,Chocolate,2,101.58,10,8.53,Debit Card,2024-02-26,8,5.0,Very Satisfied,203.16,20.316000000000003,191.374
ORD00062,CUST0190,Lisa Anderson,29.0,Female,San Diego,OH,Toys,Shampoo,5,42.66,0,10.75,Cash,2024-03-15,12,,Satisfied,213.29999999999998,0.0,224.04999999999998
